,Tweets,date
0,Otherdeed 51871 bought for 2 2195 6 otherside otherdeed BAYC MAYC APE Metaverse,2022-06-16
1, Snipe Alert Jun 18 12 00 pm Bored Ape Yacht Club Target Price 99 00 Floor Price 86 83 MemberoneAlpha mayc bayc bakc ,2022-06-16
2, The first 2500 are Free 10 VAULT ai Vault ,2022-06-16
3, LMAO BAYC first then NBA later,2022-06-16
4,One of the most popular NFTcollection is the Bored Ape Yacht Club BAYC which is at a floor price of 86 85 ETH with a total volume of 607 6K eth Get your NFTloan through HAKA ,2022-06-16
5,NFTCommunity not bored of expensive BAYC Increase your imagination to the other NFTs Not necessarily my collection explore more people BAYC9545 apefollowape yugalabs opensea BTC Ethereum,2022-06-16
6, Otherdeed 73143 bought for 2 2 2481 31 otherside otherdeed BAYC MAYC APE Metaverse WhaleAnalytica ,2022-06-16
7,Top 10 projects with the highest social signal on Ethereum HLD SHIB BAYC DODO WHALE RISE MANA RARE CRO ,2022-06-16
8, 0x0950 3cac flipped BAYC 5667 status Diamond Hands in 38 8 WETH out 82 45 WETH hodl 9 months 23 days profit 43 65 ETH spent 123035 08 2021 lost 33494 27 ,2022-06-16
9, Snipe Alert Jun 17 6 00 pm Mutant Ape Yacht Club Target Price 24 69 Floor Price 17 MemberoneAlpha mayc bayc ,2022-06-16
10, What a way to make my day merch part 1 finally came BAYC Bored to Death ,2022-06-16
11, Nifty BAYC 50 Lonely Apes ,2022-06-16
12, Shout out to all StonerApe holders amp the team We've much to be proud of in light of the bear market amp other challenges ,2022-06-16
13,Off the top of my head here's some quality SAFE BET projects with DOXXED FOUNDERS to flow your Azuki money into Genesis under 1 ETH Deeds below mint MAYC BAYC on sale What else we got ,2022-06-16
14, Otherdeed 47655 bought for 2 05 2250 49 otherside otherdeed BAYC MAYC APE Metaverse WhaleAnalytica ,2022-06-16
15, MACC DJ PARTY SNEAK 26 Join the Discord MintingSoon MutantApeCountryClub GA ,2022-06-16
16, Glitch exclusive trait gacc macc Join our discord and see what the fuss is about ,2022-06-16
17, 10KTF now open get at least 1 item from and join the battle this may be HUGE ,2022-06-16
18, that x BAYC Ladies x collab is coming Support woman in web3 amp Cannabis ,2022-06-16
19, What are top 1 of NFT traders buying today Pulled these NFTs from our software today We start WL Mint for our NFT tod ,2022-06-16
20, Winged Angel NFT collection Hoping to change the life of all the owners for the greater good Floor price 0 01 ETH Al ,2022-06-16
21, You need a BAYC for the ape ,2022-06-16
22, the idea that real street mofos are out there rockin' BAYCs is an illogical fallacy perha ,2022-06-16
23, feeling lucky 0x339396b58CeB4D10b5196a0986d21E260EB94Cc6 BAYC NFTProject NFTs Matic NFTArt ETH Binance Tweets nftcollectors NFTCommunity LINK AVAX LUNA DOGE Giveaway Giveways BNB NFT NFTArtist opensea BTC SHIB NFTGiveaway Ape Drop SOL,2022-06-16
24,Ape 7209 Todays Sale 81 82 ETH 87739 68 USD Previous Sale 97 ETH 106486 6 USD Delta 15 18 ETH 18746 92 USD BoredApes BAYC ,2022-06-16
25, 13 Utility At current prices BAYC holders have been airdropped over 250k 150k in tokens 75k in Mutants and 25k ,2022-06-16
26, NFT NFTs NFTCommunity NFTGiveaways NFTCommumity NFTartist nftart nftdrop bitcoin btc bayc Ethereum opensea Be ,2022-06-16
27, Who is looking forward to the next generation of The artwork is just crazy so much detail and all hand ,2022-06-16
28,Authenticity and being your true self to the world is a superpower koolcatz nft nfts NFTartist nftart nftartists nftcommunity bayc mayc crypto digitalart art nftcollector Inspiration NFTfam ,2022-06-16
29, 1 2 g s 3 s s Re ,2022-06-16
30, Otherdeed 82100 bought for 4 55 WETH 4923 96 otherside otherdeed BAYC MAYC APE Metaverse WhaleAnalytica ,2022-06-16
31,What price do you think APE Coin will be after The Otherside mint on Saturday BAYC ,2022-06-16
32, WTF is this This is some legit scarry shit Who knew a fucking moose could look like that That's some legit artwork When is it going on sale nft nftart wwf bayc goblintownwtf ,2022-06-16
33, I'd love a bayc ty ,2022-06-16
34, Good Lort Have Murcy gacc macc bayc mayc ,2022-06-16
35, JH I've sent some offers If you're keen on BAYC integrity I'm happy to accept ownership of these pieces into my own honestly established collection ,2022-06-16
36, BAYC investors buying up zombiestown wtf and Source ,2022-06-16
37, When eth hits 200 but BAYC FP is still 80E,2022-06-16
38, The end is almost here are you ready Join the Revolution AIPES RUGMI Hard Baby NFT nftart nftcollecto ,2022-06-16
39,Are investors buying the NFT dip BAYC has the answer AMBCrypto via BTCnews for iOS ,2022-06-16
40, BAYC APE still over 1B MC ,2022-06-16
41,i just wanna know when bayc is 150 eth amp mayc is 42E again I'll take 100k 2022 BTC tho ,2022-06-16
42, Otherdeed 92498 bought for 2 25 2470 05 otherside otherdeed BAYC MAYC APE Metaverse WhaleAnalytica ,2022-06-16
43,11 CONFIRMED COLLABS lil alpha Nansen Connect will begin with a limited number of participants including subscribers to its analytics service and owners of high profile ETH NFTs such as BAYC Moonbirds Azuki Doodles and CloneX ,2022-06-16
44, I d say if you can use it to own a piece of real estate property go for that Because you can sleep in a lambo but not in a BAYC jpeg ,2022-06-16
45, BAYC 779 just drank a of serum and looks a little spaced out should I take him to the hospital Or let him enjoy t ,2022-06-16
46,BAYC pablobly nuffin ,2022-06-16
47, Otherdeed 98715 bought for 2 05 2250 49 otherside otherdeed BAYC MAYC APE Metaverse WhaleAnalytica ,2022-06-16
48, 0x77B2F9a5DF2efc260B6f1b57C636f64C3b3e926F I like your project ,2022-06-16
49, Buy a BAYC,2022-06-16
