,Tweets,date
0,Thinking of buying a RR BAYC ,2022-06-14
1,Goblinbebe reveled boredassgoblins BAGS GOBLINQUEENS BORED BAYC BOREDAPEYACHTCLUB nft NFTCommunity goblintownwtf goblinbebe ,2022-06-14
2, Snipe Alert Jun 18 12 00 pm Bored Ape Yacht Club Target Price 99 00 Floor Price 86 83 MemberoneAlpha mayc bayc bakc ,2022-06-14
3, Otherdeed BAYC amp amp WL Giveaway 1x OthersideMeta Exclusive NFT Worth 3 Eth 3x SupperClub NFT Exclusive WLTo Win ,2022-06-14
4, The first 2500 are Free 10 VAULT ai Vault ,2022-06-14
5, He s probably watching the BAYC prices thinking these youngins need to get poor again ,2022-06-14
6, This fire ass RR BAYC is owned by my guy Reserve yours now at ,2022-06-14
7, Next bull cycle remember that when you see the word Community It really means exit liquidity Ne ,2022-06-14
8, LMAO BAYC first then NBA later,2022-06-14
9,One of the most popular NFTcollection is the Bored Ape Yacht Club BAYC which is at a floor price of 86 85 ETH with a total volume of 607 6K eth Get your NFTloan through HAKA ,2022-06-14
10,NFTCommunity not bored of expensive BAYC Increase your imagination to the other NFTs Not necessarily my collection explore more people BAYC9545 apefollowape yugalabs opensea BTC Ethereum,2022-06-14
11, Otherdeed 55392 bought for 2 7 3148 55 otherside otherdeed BAYC MAYC APE Metaverse WhaleAnalytica ,2022-06-14
12, Lets fly to the moon NFTGiveaways NFTGiveaway NFTCommunity Nfts BAYC MAYC,2022-06-14
13, Otherdeed 8393 bought for 18 88 22229 31 otherside otherdeed BAYC MAYC APE Metaverse WhaleAnalytica ,2022-06-14
14, Otherdeed 73143 bought for 2 2 2481 31 otherside otherdeed BAYC MAYC APE Metaverse WhaleAnalytica ,2022-06-14
15, It s crazy how at one point in time RUNE was going to replace Binance AXS was going to be the next Pok mon SNX was going t ,2022-06-14
16,Top 10 projects with the highest social signal on Ethereum HLD SHIB BAYC DODO WHALE RISE MANA RARE CRO ,2022-06-14
17, 0x0950 3cac flipped BAYC 5667 status Diamond Hands in 38 8 WETH out 82 45 WETH hodl 9 months 23 days profit 43 65 ETH spent 123035 08 2021 lost 33494 27 ,2022-06-14
18, Snipe Alert Jun 17 6 00 pm Mutant Ape Yacht Club Target Price 24 69 Floor Price 17 MemberoneAlpha mayc bayc ,2022-06-14
19,I love best project now on OS Best nftcommunity Here is my ape REKTAPENFT nft nfts Apenft degenmint freemint bayc BoredApeYachtClub NFTCommmunity NFTdrops NFTGiveway ,2022-06-14
20, Haha sorry I m just always looking out looked suspicious but then I saw BAYC follows you and it s not a fake account lol,2022-06-14
21, What a way to make my day merch part 1 finally came BAYC Bored to Death ,2022-06-14
22, Nifty BAYC 50 Lonely Apes ,2022-06-14
23, Shout out to all StonerApe holders amp the team We've much to be proud of in light of the bear market amp other challenges ,2022-06-14
