,Tweets,date
0,Top 10 projects with the highest social signal on Ethereum HLD SHIB BAYC,2022-06-18
1, Snipe Alert Jun 18 12 00 pm Bored Ape Yacht Club Target Price 99 00 Floor Price 86 83 MemberoneAlpha mayc bayc bakc ,2022-06-18
2,Check out my item listing on OpenSea opensea nft NFTCommunity BAYC bestnft via ,2022-06-18
3, The first 2500 are Free 10 VAULT ai Vault ,2022-06-18
4, replace okay bear with bayc and ten thousand dollars with hundreds of thousands of dollars ,2022-06-18
5, Holdddd all daywhy because it brings along benefits in the future like if u see any and every BAYC holder has been benefited thro holding there nft either with ape coinland etcso that s the best way to have something reliable secured for my futureI cant even imagine ,2022-06-18
6, I'm literally gonna be able to afford a BAYC soon ,2022-06-18
7, The day is finally here This team and community is on another level Reveal is going to be insane LFG MA ,2022-06-18
8, Punks gt gt BAYC in 10 years Not even close ,2022-06-18
9, LMAO BAYC first then NBA later,2022-06-18
10,MACC DJ PARTY SNEAK 21 Join the Discord MintingSoon MutantApeCountryClub GACC GrandpaApeCountryClub BAYC MAYC NFTMint NFTMintAlert OpenSeaNFT Kuchuya Mutants ,2022-06-18
11,WOW MACC merch hoodie sneak peak GACC BAYC MAYC ,2022-06-18
12, Bored Ape Yacht Club BAYC NFT 8715 sold for 85 98 ETH 94 39k ,2022-06-18
13,So cool to see how bayc and mayc holds up pretty well during these dips ,2022-06-18
14,SON Dad why is everyone buying DAD Coz we rekt son and REKT APE is the only way we can survive the bear market nft NFTs Trending trendingnft apenft bayc BoredApeYC NFTCommunity FreeMint degen rektapes REKT opensea MEMES nftmemes opensea Airdrop ,2022-06-18
15, Im now the proud owner of Tripped out BAYC 4070 I cant believe I ended up winning this Thank you ,2022-06-18
16, 2 5 SneakerHeads 0 29 0x8dc7b6ec6fafa36085ee9ec8e39112428d3360aa 3 DOODLE Buy 3 Sell 4 2 CLONEX Buy 3 Sell 3 2 COOL Buy 2 Sell 6 1 BAYC Buy 1 Sell 4 1 MAYC Buy 2 Sell 7 1 WOW Buy 1 Sell 2 ,2022-06-18
17, WazZzup WaAazZzuUupPp WwAaZzUuPp wWaAzZuUpP NFT WazZzup NFTdrop web3community cryptopunks BoredApeYachtClub ,2022-06-18
18, Obviously they aren t giving out a BAYC stingy,2022-06-18
19,CNP NSM BAYC w BAYC CNP NSM ,2022-06-18
20,Top 10 projects with the highest social signal on Ethereum HLD SHIB BAYC DODO WHALE RISE MANA RARE CRO ,2022-06-18
21, 0x0950 3cac flipped BAYC 5667 status Diamond Hands in 38 8 WETH out 82 45 WETH hodl 9 months 23 days profit 43 65 ETH spent 123035 08 2021 lost 33494 27 ,2022-06-18
22, Choose me 0x339396b58CeB4D10b5196a0986d21E260EB94Cc6 BAYC NFTProject NFTs Matic NFTArt ETH Binance Tweets nftcollectors NFTCommunity LINK AVAX LUNA DOGE Giveaway Giveways BNB NFT NFTArtist opensea BTC SHIB NFTGiveaway Ape Drop SOL,2022-06-18
23, Otherdeed 99994 bought for 2 49 2733 52 otherside otherdeed BAYC MAYC APE Metaverse WhaleAnalytica ,2022-06-18
24,Exoticerotica NFTs All new art begin 5ETH WEEKLY NFTdrop Exotic art collectibles NFTCommunity NFTProject crypto NFTshill NFT eth Metaverse BAYC NFTforSALE MAYC web3nycgallery Azuki Cryptocrash Cryptos MetaverseNFT nftsale Bitcoin ,2022-06-18
25, What a way to make my day merch part 1 finally came BAYC Bored to Death ,2022-06-18
26, Shout out to all StonerApe holders amp the team We've much to be proud of in light of the bear market amp other challenges ,2022-06-18
27, Going to 0 so we can buy bayc for free,2022-06-18
28,Where are the people who were flaming me for selling this too early because its the next BAYC when it was 8E Floor and eth was more than 2x the price ,2022-06-18
29, Let s make the APE control the Revolution 9724 BAYC pablosapes pablosmans ,2022-06-18
30,Off the top of my head here's some quality SAFE BET projects with DOXXED FOUNDERS to flow your Azuki money into Genesis under 1 ETH Deeds below mint MAYC BAYC on sale What else we got ,2022-06-18
31, Idk ProbablyNothing Then again Maybe Everything GACC Is going to take our place in the ranks of the legends and ,2022-06-18
32, Just minted Dick 641 Don t sleep on DickFace This is going to be the most hilarious series ever created ,2022-06-18
33,Very interested in exploring the Solana blockchain and NFTs With significant amounts of due diligence someone will find a future punk or BAYC level floor on the other side of the bear mrket ,2022-06-18
34, MACC DJ PARTY SNEAK 26 Join the Discord MintingSoon MutantApeCountryClub GA ,2022-06-18
35, Glitch exclusive trait gacc macc Join our discord and see what the fuss is about ,2022-06-18
36, will soon announce its on opensea so please follow if you do not want to miss out amp retweet for a ,2022-06-18
37,ethereum ethereumnfts ethereumnft opensea openseanft NFT NFTs nftart nftcommunity bayc mayc goblintownwtf veecon doodles etherrock ,2022-06-18
38, Could this be true Live since a couple of minutes Just minted And it is a free mint Lets see what there is coming nft pablosnft nftart nftwhitelist airdrop catdogsclub BAYC Moonbirds,2022-06-18
39,Do you think we ll be able to afford a BAYC ever Honestly even if ETH reaches 100 will still be stupid expensive ,2022-06-18
40, pick me please 0x339396b58CeB4D10b5196a0986d21E260EB94Cc6 LINK NFTArtist NFTArt ETH NFTs LUNA Ape DOGE NFTProject Matic BNB SOL Tweets SHIB Drop NFTCommunity BAYC NFT Giveaway Binance NFTGiveaway Giveways BTC AVAX nftcollectors opensea,2022-06-18
41,BAYC 8639 sold for 137 According to Ginoa NFT amp Metaverse Price Valuation AI its current price is 139 77 NFTCommunity nftcollector Ethereum ETH Metaverse blockchain web3 nft BoredApeYC cryptocurrency ,2022-06-18
42, Snipe Alert Jun 18 2 00 am Bored Ape Kennel Club Target Price 9 00 Floor Price 6 MemberoneAlpha mayc bayc bakc,2022-06-18
43, that x BAYC Ladies x collab is coming Support woman in web3 amp Cannabis ,2022-06-18
44, youre what web3 girls are hoping for when theyre flirting with an undoxxed bayc,2022-06-18
45,I'm sick of seeing NFTProjects that look just like BAYC I mean really Can't you be a little more creative ,2022-06-18
46, NYC We in here My brother is performing here in Brooklyn you know we repping the community ,2022-06-18
47, Winged Angel NFT collection Hoping to change the life of all the owners for the greater good Floor price 0 01 ETH Al ,2022-06-18
48,Defi Detective Allegates A Famous BAYC Collector Of Wrongdoings Denied Read more on definews defistorm,2022-06-18
49,Meet our new Shop Cat xtool laserengraving lasercutting laserengraved cryptokitties bayc boredapeyachtclub cryptopunk sidehustle hustle ,2022-06-18
50, the signs are all there BAYC know who Ryder Ripps is and what he s doing yet haven t spoke ,2022-06-18
51, To be clear the BAYC ecosystem will remain the center of our universe We believe that what's good for Punks is good for Ape ,2022-06-18
52,Oh you thought we were done gacc macc Join our discord and see what the fuss is about bayc MAYC ,2022-06-18
53,Everyday Every hour Every minute I'm more and more convinced that is growing into another NFT giant such as BAYC don't take it 101 literally Team has been working nonstop last few months to deliver absolutely brand new art for the TheTribe which i,2022-06-18
54,Merch is doggo approved BAYC BAKC NFT ,2022-06-18
55, Snipe Alert Jun 18 3 00 am Mutant Ape Yacht Club Target Price 24 69 Floor Price 17 29999 MemberoneAlpha mayc bayc ,2022-06-18
56, 1 2 g s 3 s s Re ,2022-06-18
57, will sweep BAYC and Punks at 1 no doubt about it Self proclaimed blockchain bros will leave but he's got a heart of gold,2022-06-18
58, trillionaireape nft opensea trending fyp rarible crypto btc eth matic bayc mayc f ,2022-06-18
59, Last bear season I became familiar with Linux terminal and ran several nodes for some low caps Staked some others then nft ,2022-06-18
60,What price do you think APE Coin will be after The Otherside mint on Saturday BAYC ,2022-06-18
61, Free NFT Giveaway Worth 1 ETH 1100 Follow amp Retweet Drop your ETH address NFTCommunity opensea NFTArtist NFTArt NFTProject ETH NFTGiveaway NFTs BAYC BTC Matic BNB SOL Giveways Tweets nftcollectors Drop LUNA SHIB DOGE LINK AVAX Ape DOGE TRX ,2022-06-18
62, Facts the good old days Miss them days bayc,2022-06-18
63, WTF is this This is some legit scarry shit Who knew a fucking moose could look like that That's some legit artwork When is it going on sale nft nftart wwf bayc goblintownwtf ,2022-06-18
64, P R O B A B L Y N O T H I N G P R O B A B L Y N O T H I N G bayc freebanner freemint claimyou ,2022-06-18
65,I'm literally gonna be able to afford a BAYC soon ,2022-06-18
66, Otherdeed 75938 bought for 2 5 WETH 2490 93 otherside otherdeed BAYC MAYC APE Metaverse WhaleAnalytica ,2022-06-18
67, MUTANTGOBLINAPE NEWS L K This My Friend h w s e t d a t Open Sea mgaishere goblintownwtf apefollowape NFT Web3 art NFTCommunity nftart NFTProjects BAYC MAYC goblintownwtf ,2022-06-18
68, LFG I FUCKING LOVE THIS FOMOM FOR REAL Sneak peeks go crazy ,2022-06-18
69,BAYC 5 2 ,2022-06-18
70,Seriously bottoms not in till I unfollow every irrelevant hopium peddling BAYC,2022-06-18
71, Good Lort Have Murcy gacc macc bayc mayc ,2022-06-18
72, BAYC investors buying up zombiestown wtf and Source ,2022-06-18
73, 70 BAYC ApeCoin APE ,2022-06-18
74,Glad to see you guys IRL BAYC PretoNFTs NFTs NFTNYC ,2022-06-18
75, JK we got a BAYC in on the action Are we in,2022-06-18
76, 4 in a half years ago I sold my doge for a small profit oh boy do I regret that I watched Shiba inu frm day 1 I never ,2022-06-18
77, THE SWAG IS SERIOUS THESE ARE DOPER THAN F CK BAYC THEY ARE A BUNCH OF RACIST NAZIS COME ,2022-06-18
78, When eth hits 200 but BAYC FP is still 80E,2022-06-18
79, Had to put my Uniquehorn in rotation He's just too cool ,2022-06-18
80,Are investors buying the NFT dip BAYC has the answer AMBCrypto via BTCnews for iOS ,2022-06-18
81, BAYC APE still over 1B MC ,2022-06-18
82, WE TOLD THE WORLD DONT FADE MONKE DID THEY LISTEN WE WILL FLIP APECOIN I HOPE THEY DIDNT DOUBT US ,2022-06-18
83, Otherdeed 92498 bought for 2 25 2470 05 otherside otherdeed BAYC MAYC APE Metaverse WhaleAnalytica ,2022-06-18
84, bayc deserves to go to zero,2022-06-18
85, SHUSH SHUSH SHUSH nftart NFTs FreeMint bayc boltapeyc ,2022-06-18
86, Goooood morning Get yer hard caps on cuz we are ready to BUIDL Here's why we love Pablos Apes Positiv ,2022-06-18
87, They just keep getting better gacc macc Join our discord and see what the fuss is about ,2022-06-18
88,BAYC is the reason I joined the space over a year ago and i have had severe FOMO ever since For the last 8 weeks I have been solely focused on one day being able to get in to the BAYC ecosystem Starting with selling my beloved Mutant to build up to be able to get a Bored Ape,2022-06-18
89, LooksRare vs Opensea The buyer got 3 5k in trading rewards On Opensea they would have gotten none The s ,2022-06-18
90,Are investors buying the NFT dip BAYC has the answer AMBCrypto News ,2022-06-18
